"mjop_discipline";"grids_discipline";"ele_tekst";"proposed_assetType";"ele_eenheid";"ele_soort";"ele_nlsfbhoofd";"element_count";"row_count"
"E-Installatie";"Elektra";"Onderverdeelkast 14";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 15";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 16";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 17";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 18";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 19";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 20";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 21";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 22";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 23";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 24";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 4";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 5";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 6";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 7";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 8";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 9";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast A1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast A2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast KK-0";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast Kkeu";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L1a";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L1b";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L1c";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L1d";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L2a";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L2c";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L3a";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L3b";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast L3c";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LA";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LC";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK0-0";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK0-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK0-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK1-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK2-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK3-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast LK4-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK A 2.1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK0-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-01";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK0-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-02";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-03";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-04";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-05";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK0-6";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-06";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-07";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-08";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-09";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-10";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK1-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-11";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-1-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK1-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-12";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-13";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-14";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-15";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK-16";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK2-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK2-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK2-3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK3-1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK3-2";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast OVK3-3";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
